MANDT,BUKRS,BELNR,GJAHR,BUZEI,BUZID,AUGDT,AUGCP,AUGBL,BSCHL,KOART,UMSKZ,UMSKS,ZUMSK,SHKZG,GSBER,PARGB,MWSKZ,QSSKZ,DMBTR,WRBTR,TXBHW,TXBFW,MWSTS,WMWST,HWBAS,FWBAS,SHZUZ,MWART,TXGRP,KTOSL,BVTYP,QSSHB,VALUT,ZUONR,SGTXT,VBUND,BEWAR,VORGN,KOKRS,KOSTL,AUFNR,SAKNR,HKONT,KUNNR,LIFNR,XBILK,GVTYP,ZFBDT,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,SKFBT,SKNTO,WSKTO,ZLSCH,ZLSPR,ZBFIX,MWSK2,DMBT3,WRBT3,LANDL,MSCHL,MANSP,MADAT,MANST,MABER,VPRSV,BWKEY,PRCTR,XHKOM,TXJCD,PROJK,DMBE2,DMBE3,MWST2,MWST3,SKNT2,SKNT3,HWMET,TXBH2,TXBH3,XREF1,XREF2,XREF3,KIDNO,TXDAT,PYAMT,BUPLA,SECCO,XOPVW,KKBER,STCEG,Unnamed: 96,Unnamed: 97,Unnamed: 98
800,RS03,1800003376,2025,3, ,,, ,50,S, , , ,H,SBAP, ,D§, ,410934.16,410934.16,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001641 KARTONVAL, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003376,2025,4,T,,, ,50,S, , , ,H, , ,D§, ,155922.31,155922.31,0,0,0.0,0.0,779611.56,779611.56, ,A,1,MWS, ,0,,20251016, , , ,RFBU,EURP, , , ,43104800, , ,X, ,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003484,2025,1, ,,, ,1,D, , , ,S,SBAP, ,D§, ,1273096.44,1273096.44,0,0,212182.74,212182.74,0.0,0.0, , ,0, , ,0,, , , , ,RFBU,EURP, , ,41100000,41100000,171022, ,X, ,2025-10-24,6,60,0,0,0.0,0,1273096.44,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , ,X,SBAP, ,,,
800,RS03,1800003484,2025,2, ,,, ,50,S, , , ,H,SBAP, ,D§, ,889574.4,889574.4,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001792 BEO-DRAGOS, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003484,2025,3, ,,, ,50,S, , , ,H,SBAP, ,D§, ,171339.3,171339.3,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001792 BEO-DRAGOS, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003484,2025,4,T,,, ,50,S, , , ,H, , ,D§, ,212182.74,212182.74,0,0,0.0,0.0,1060913.7,1060913.7, ,A,1,MWS, ,0,,20251024, , , ,RFBU,EURP, , , ,43104800, , ,X, ,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003382,2025,1, ,,, ,1,D, , , ,S,SBAP, ,D§, ,1295181.77,1295181.77,0,0,215863.63,215863.63,0.0,0.0, , ,0, , ,0,, , , , ,RFBU,EURP, , ,41100000,41100000,171022, ,X, ,2025-10-17,6,60,0,0,0.0,0,1295181.77,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , ,X,SBAP, ,,,
800,RS03,1800003382,2025,2, ,,, ,50,S, , , ,H,SBAP, ,D§, ,1079318.14,1079318.14,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001792 BEO-DRAGOS, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003382,2025,3,T,,, ,50,S, , , ,H, , ,D§, ,215863.63,215863.63,0,0,0.0,0.0,1079318.14,1079318.14, ,A,1,MWS, ,0,,20251017, , , ,RFBU,EURP, , , ,43104800, , ,X, ,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003389,2025,1, ,,, ,1,D, , , ,S,SBAP, ,D§, ,1274395.16,1274395.16,0,0,212399.19,212399.19,0.0,0.0, , ,0, , ,0,, , , , ,RFBU,EURP, , ,41100000,41100000,171022, ,X, ,2025-10-17,6,60,0,0,0.0,0,1274395.16,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , ,X,SBAP, ,,,
800,RS03,1800003389,2025,2, ,,, ,50,S, , , ,H,SBAP, ,D§, ,1061995.97,1061995.97,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001792 BEO-DRAGOS, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003389,2025,3,T,,, ,50,S, , , ,H, , ,D§, ,212399.19,212399.19,0,0,0.0,0.0,1061995.97,1061995.97, ,A,1,MWS, ,0,,20251017, , , ,RFBU,EURP, , , ,43104800, , ,X, ,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003504,2025,1, ,,, ,1,D, , , ,S,SBAP, ,D§, ,916646.64,916646.64,0,0,152774.44,152774.44,0.0,0.0, , ,0, , ,0,, , , , ,RFBU,EURP, , ,41100000,41100000,251637, ,X, ,2025-10-27,6,60,0,0,0.0,0,916646.64,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , ,X,SBAP, ,,,
